;;;Expositie Damtoernooi - Grootmeesters Dampromotie 2018 (Rapid)
;;;https://toernooibase.kndb.nl/opvraag/standen.php?taal=&kl=23&Id=7265&jr=19
;;;FMJD-report;Delftse telling
Pl;FMJD-id;Title;Name;Cn;rating;R1;R2;R3;Pts
1;10011;gmi;Hans Jansen;nl;2315;12/3w;6/2b;11/4b;30
2;10030;gmi;Kees Thijssen;nl;2336;12/4b;4/1w;9/3b;25
3;13238;gmi;Pim Meurs;nl;2373;0/1b;12/4w;1/2w;13
4;10209;mi;Anton van Berkel;nl;2273;0/2w;0/3b;1/1w;0
