From the Tournament-Database of Chess-Results http://chess-results.com;;;;;;;;;;;;;;;;;;
Moscow Open 2018_A ;;;;;;;;;;;;;;;;;;
Rk.;;Name;Rtg;FED;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;Pts. ;TB1;TB2;TB3;TB4
161;;Marzano Carlo ;2269;ITA;  1b0;189w½;129b0;191w½;146b½;152w1;138b0;171w1;118b0;3,5;39;36;0;12,75
162;WFM;Serikbay Assel ;2188;KAZ; 34b0; 54b0;197w1;144w1; 85b0;142w0;204b1; 84w0;179b½;3,5;38,5;36;0;11,25
163;;Kukelko Alexey ;2189;UKR;200w½; 88b0; 56w1; 65b0; 90w0;187b0;202w1;191b½;165b½;3,5;38,5;35,5;0;14,25
164;;Marinskii Yurii ;2218;RUS; 83w0;149b1;128w0;148b1; 40w0;160b0;192w1;105b½;107w0;3,5;38,5;35,5;0;13,25
165;;Gavrilin Roman ;1923;RUS; 94b0; 41w½; 98b0;181b1;182w1; 97w0;114b0;145b½;163w½;3,5;38,5;35;0;13,75
166;;Bogaudinov Rushan ;2207;RUS;  4w0;209b1;100w0; 91b½;119b0;138w0;216w1;174b1;0;3,5;37,5;36;0;12,25
167;WGM;Shaydullina Sandugach ;2211;RUS; 12b0;204w1; 66b0;215w1;135b½; 94w0;175b1; 76w0;119b0;3,5;37;35,5;0;9,5
168;;Yeritsyan Hayk ;2173;ARM;123w0; 70b0;149w0;197b1;179w1; 91b0;195w1;142w½;103b0;3,5;37;34;0;11,5
169;FM;Volovich Vasily ;2306;RUS;  2w0;181b½; 78w0;121b½;216w1;143b0;157b½;184w1; 99w0;3,5;36,5;35;0;10,25
170;;Lepaev Andrey ;2144;RUS; 88w½; 58b0; 87w1;198b0;201w0;192b½;194w½;149b0;209w1;3,5;36;33,5;0;12,75
171;CM;Samadov Read ;2007;AZE; 93w0;101b½;120w½;203b1; 47w0;173b1;147w0;161b0;158w½;3,5;36;33,5;0;12,25
172;;Pranizin Gennady ;2220;RUS; 18b0;207w0;212b1;204w1;111b0;210w1; 50b½; 55w0;121b0;3,5;35,5;33,5;0;9,25
173;;Tarasov Oleg ;2264;RUS; 37w0;205b1; 14b0;105w0;191b1;171w0;177b0;211w1;180b½;3,5;35,5;33;0;9,75
174;;Fedotov Alexey ;2139;RUS; 73b0;103w0;194b1;156w½;214b1;104w0;115b0;166w0;204b1;3,5;35;32,5;0;10,25
175;WFM;Varshini V ;2062;IND;198w0;114b0;147w1;130b½;101w0;176b1;167w0;181b0;203w1;3,5;34,5;32;0;11,5
176;;Poliakov Artem ;2153;RUS;128w0;147b1; 85b0; 97w½; 84b0;175w0;215b1;152w0;202w+;3,5;34;32,5;0;9
177;CM;Kirillov Dmitry ;2086;RUS; 60w0;154b0;102w0;210b0;197w1;182b1;173w1;113b0;159w½;3,5;33;31;0;11,75
178;;Efremov Vladislav ;1995;RUS; 43b0;132w0;213b1;186w½; 41b0;189w0;180b0;217w1;206w1;3,5;31;30;0;7,5
179;;Atakishiyev Elmar ;1914;AZE; 85b0;124w0;206b½;213w½;168b0;180b1;158w0;188b1;162w½;3,5;31;28,5;0;10,75
180;;Ufimtsev Egor ;2132;RUS; 81b0;115w0;211b0;209w1;204b0;179w0;178w1;192b1;173w½;3,5;30,5;28;0;10,75
181;;Zavialov Nikita A. ;2152;RUS;119b0;169w½;104b0;165w0;219b1;157w0;217b1;175w1;115b0;3,5;29,5;29;0;6,75
182;IM;Syrchikov Alexander ;2399;RUS;143b0;215w½;126b0;189w½;165b0;177w0;212b1;190w½;205b1;3,5;27;25,5;0;8,25
183;GM;Grachev Boris ;2653;RUS;150w½; 67b½;117w1; 40b1; 44w-;0;0;0;0;3;44;40;0;27
184;;Marchuk Rostislav ;2143;RUS; 56w1; 34w½; 76b0; 75b0; 38w0;202b1; 89w0;169b0;194w½;3;41;38,5;0;12,75
185;IM;Oganian Miran ;2430;RUS;120w½;150b1; 79w½;123b0;102w½;109b½; 67b0;0;0;3;41;37;0;17,5
186;;Mamatov Melis ;2225;KGZ; 52w0;197b1; 77w0;178b½;207w1; 79b½; 88w0;153b0;145w0;3;37,5;35;0;9,75
187;;Yangutov Aleksey ;2108;RUS; 42w0;134b½;131w0; 87b0;208b1;163w1;112b0;133w½;124b0;3;36,5;34,5;0;9,5
188;;Mestnikov Aital ;2233;RUS;116b½;220w1;108b0; 73w0;195b½;148w0;121b0;179w0;211b1;3;36,5;34;0;10,25
189;;Priyanka K ;2134;IND; 53w0;161b½;109w0;182b½;151w½;178b1; 86w½;131b0;150w0;3;36,5;33;0;11
190;;Mochalin Faddey ;2079;RUS; 40w½; 29b0;101w0;150b½;147w0;203b½;206w½;182b½;193w½;3;36;33,5;0;10,75
191;;Vetokhin Ilia ;2031;RUS; 62b½; 49w0;199b0;161b½;173w0;208w1;118b½;163w½;127b0;3;35;33;0;10,25
192;;Chumachenko Alexander ;2067;UKR; 45b0;213w1; 64b½;115w0;112b0;170w½;164b0;180w0;210b1;3;34,5;32,5;0;8,75
193;;Astafurov Arseniy ;2182;RUS; 76b½;214w0; 55b0;219w1; 56b0;146w0;207b1;117w0;190b½;3;34;33,5;0;7
194;WFM;Vrtiakova Anna ;1963;SVK; 86w0;113b0;174w0;208w½;213b+;153b½;170b½;118w0;184b½;3;32;30;0;7,5
195;;Khmelev Mikhail ;1983;RUS; 89w½;110b0;159w0;206b1;188w½;155w0;168b0;150b0;213w1;3;32;29,5;0;9
196;;Dzyga Artem ;2106;RUS;111b0;156w0;217b1;137w0;144b0;149w0;219b1;210w1;133b0;3;28;27,5;0;3,5
197;;Burhanov Vassily ;1934;RUS;135b0;186w0;162b0;168w0;177b0;209b0;208w1;212w1;216b1;3;25,5;24;0;5,5
198;FM;Tarasov Alexandr ;2353;RUS;175b1;106w½; 36b0;170w1;  8b-;0;0;0;0;2,5;40;36,5;0;20,5
199;WFM;Zherebtsova Alexandra ;2252;RUS; 35w0;146b½;191w1; 52b0;141w1; 56b0;151w0;0;0;2,5;39,5;36,5;0;13
200;IM;Efanov Nikolai ;2399;RUS;163b½; 98w1; 63b½;133w½; 96b-;0;0;0;0;2,5;39,5;36;0;22
201;FM;Shapiro David ;2328;RUS;207b1; 12w0;127b0;118w½;170b1; 41w0;125b-;0;0;2,5;39;36,5;0;14,25
202;;Lauda Alexandr ;2008;MDA; 82b½; 62w0; 41b0;134b0;206w1;184w0;163b0;215w1;176b-;2,5;34;32,5;0;8,25
203;FM;Pogorelskikh Sergey ;2221;RUS; 80b0;211w1; 82b0;171w0;148b0;190w½;152b0;207w1;175b0;2,5;33;30,5;0;6,5
204;;Ivanov Artem T. ;1903;RUS; 95w0;167b0;153w1;172b0;180w1;159b0;162w0;206b½;174w0;2,5;32;29,5;0;8,75
205;;Averyanov Grigori ;2114;RUS; 84b0;173w0;209b1;103w0;210b0;211w1;149b½;156w0;182w0;2,5;31;29;0;7
206;;Mrykhin Igor ;2183;RUS;108b0; 90b0;179w½;195w0;202b0;219w1;190b½;204w½;178b0;2,5;30;29,5;0;5
207;;Shoshin Kirill ;1919;RUS;201w0;172b1;115b½; 96w0;186b0;150w0;193w0;203b0;217b1;2,5;29,5;28,5;0;6,75
208;;Shuvalov Evgenij ;2241;RUS;  9w0; 74b0;148w0;194b½;187w0;191b0;197b0;-1;215w1;2,5;29,5;28,5;0;3,25
209;;Sokolov Ilia ;1878;RUS; 72b0;166w0;205w0;180b0;212b½;197w1;117b0;216w1;170b0;2,5;29;27,5;0;5,5
210;;Ahmadov Orkhan ;1375;AZE;142b0;133w0;152b0;177w1;205w1;172b0;153w0;196b0;192w0;2;31,5;29;0;6
211;WCM;Sibajeva Marija ;1931;LTU;0;203b0;180w1;120b0;143w0;205b0;213w1;173b0;188w0;2;31;28,5;0;8,5
212;;Khelemendik Roman ;2027;RUS; 79w0;139b0;172w0;147b0;209w½;213b½;182w0;197b0;219w1;2;28,5;28;0;3
213;FM;Vysotskiy Oleg ;2250;RUS; 71w0;192b0;178w0;179b½;194w-;212w½;211b0;219w1;195b0;2;26,5;26;0;5
214;IM;Karpov Vadim ;2361;RUS;121w½;193b1; 13w0; 78b0;174w0;0;0;0;0;1,5;35,5;33;0;11,75
215;;Buniatyan David ;1853;RUS; 87w½;182b½; 67w0;167b0;153w½;140b0;176w0;202b0;208b0;1,5;33,5;31,5;0;6,25
216;FM;Bujakevich Aleksandr ;2103;RUS; 26b0;137w0;151b1;132w0;169b0;217w½;166b0;209b0;197w0;1,5;31,5;30,5;0;4
217;;Kirushin Ivan ;1842;RUS; 63b0;136w0;196w0;153b0;-1;216b½;181w0;178b0;207w0;1,5;29;27,5;0;1,75
218;FM;Kovalev Egor ;2303;RUS; 57w0;145b½;141w0;146b½;160w0;0;0;0;0;1;32;30;0;9,75
219;WFM;Larina Marija ;1975;RUS;110w½; 75b0; 91w0;193b0;181w0;206b0;196w0;213b0;212b0;0,5;31;29;0;2,25
220;FM;Ofitserian Boris ;2420;RUS;159w½;188b0; 99w-;0;0;0;0;0;0;0,5;27,5;26;0;12,25
#;;;;;;;;;;;;;;;;;;
#You find all details to this tournament under  http://chess-results.com/tnr328740.aspx?lan=1;;;;;;;;;;;;;;;;;;
#Chess-Tournament-Results-Server: Chess-Results;;;;;;;;;;;;;;;;;;
