;2nd Sinquefield Cup 2014
;https://chess-results.com/tnr143628.aspx?lan=17&art=1
Pos;Name;FED;Rtg;Pts.;1;2;3;4;5;6;7;8;9;10
1;Caruana, Fabiano;ITA;2801;8.5;3z1;4w1;2z1;6z1;5w1;3w1;4z1;2w½;6w½;5z½
2;Carlsen, Magnus;NOR;2877;5.5;4z½;6z½;1w0;5z1;3w½;4w½;6w1;1z½;5w½;3z½
3;Topalov, Veselin;BUL;2772;5.0;1w0;5z0;6w1;4w1;2z½;1z0;5w½;6z1;4z½;2w½
4;Vachier-Lagrave, Maxime;FRA;2768;4.0;2w½;1z0;5w1;3z0;6w½;2z½;1w0;5z½;3w½;6z½
5;Aronian, Levon;ARM;2805;4.0;6w½;3w1;4z0;2w0;1z0;6z½;3z½;4w½;2z½;1w½
6;Nakamura, Hikaru;USA;2787;3.0;5z½;2w½;3z0;1w0;4z½;5w½;2z0;3w0;1z½;4w½
