Uit de toernooibestanden van Chess Results
43rd Olympiad Batumi 2018 Open ;0w0 vervangen door zwz
http://chess-results.com/tnr368908.aspx?lan=17&art=63&flag=30
Rk.;Mannschaft;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;10.Rd;11.Rd
55;Costa Rica;168b4;39b½;81w4;87w2;52b1½;123w1;143w4;76b2½;95b3½;96w3;18b½
56;Bangladesh;178b4;101w4;7b½;86b2;83w3;62w2;50b2;27w2½;25b½;46b1½;96w2½
57;Indonesia;164w4;4w0;167b4;50b3;29w½;41b0;92w3½;51w2;61b1;87b4;86w3
58;Japan;8w½;152b4;101w3;14b½;88w1;140w4;90b2;80b2½;49w1½;123b3;95b2½
59;Zimbabwe;41w0;163b3½;74b2;53w2;69w2;76b1½;91b3½;61w½;122b2½;136w3½;84b2½
60;IPCA;15w½;114b3;64w½;149b3½;92w3;46b2;44w0;83b2½;82w3;23w0;105b3
61;Cuba;149w3½;22b2;53w4;31w1½;34b1;83b3½;71w1½;59b3½;57w3;48b2;32b1½
62;Chile;106w3½;54w2½;12b1½;47b2½;7w2;56b2;20b1½;81w3½;41b1½;111w4;30b½
63;Brazil;132w4;105b4;5w1½;89b2;28w1;103b3;54b1½;124w4;101b3;20w1½;71b2
64;Colombia;129b4;1w½;60b3½;23w½;116w3½;143b4;43w2½;19b2;52w1½;36b2;38w1½
65;Bosnia & Herzegovina;162b4;103w2½;41w1½;109b4;38w4;2w½;14b1½;149w3½;66b½;112w3;33b1½
66;Slovakia;135b3½;37b1½;98w4;107b2½;78w3;19w1½;21b½;74b3;65w3½;14w1;34b½
67;Paraguay;152w4;19b1½;76b2½;71w3;6b½;49b2;45w2;41w1½;107b2½;70w4;27b1
68;Iceland;114b4;45w2½;39w½;29b0;108w2½;21w1½;72b2½;75b3;11w1;78b3½;36w1½
69;Morocco;1b1;182w4;159b3;51w1;59b2;98w2½;47w1;49b1;100b3½;80w2;109w4
70;South Africa;137b4;32b0;21w1½;117w3;140b4;90b3;42w1;151w4;38b1½;67b0;110w3
71;Belgium;161w4;5b½;124w2½;67b1;132w3½;45b2;61b2½;32w1;44w½;93b4;63w2
72;Tajikistan;166w4;12w1;151b3;40w0;21b1½;159b3½;68w1½;115w3½;113b3;30b1;107w3
73;Monaco;169w4;26b½;90w2;79b1;167w3½;114b2;38b1½;120w3½;77w1;137b3;113b3
74;Mexico;176w4;41b½;59w2;90b2;81b3;50w1;116b2½;66w1;53w1;121b3½;106w2½
75;Kyrgyzstan;165w4;20w½;135b3;92w3;51b1½;109w1½;113b2½;68w1;151b3½;45w1;115b3
76;Nigeria;zwz;145b4;67w1½;98b2;154w4;59w2½;27b0;55w1½;126b3;79b2;108w3
77;Uruguay;170w4;9w0;131b4;48w½;96b2½;11b1;105w3;37w1;73b3;108w3½;35b½
78;Kosovo;156b4;42b½;108w2½;46w2½;66b1;14b1½;112w1½;166b4;149w3½;68w½;117b2½
79;Yemen;9b0;116w2;142b4;73w3;16b0;91w2½;82w1;125b2½;108b1½;76w2;112b3½
80;Afghanistan;46b0;93b2;83w½;160w2½;98b1½;177b4;122w2½;58w1½;103b3;69b2;104w3
81;Guatemala;4b0;168w3½;55b0;124b3;74w1;150w2½;106b3;62b½;102w2½;53b1;111w3
82;Ireland;116b4;3b1;99w3½;103w2;87b3;86w1;79b3;50w½;60b1;95w1;139b4
83;Madagascar;18w1;110b2;80b3½;93w3;56b1;61w½;137b4;60w1½;128w3;86b1;138b3
84;Dominican Republic;177b4;25b½;128w4;38b1;121w3½;119b2½;17w1;95w2;96b1;99b3;59w1½
85;Singapore;146w4;27w½;111b3½;42b½;120w3;47b2;32w1;126b2½;46w0;101w4;51b1½
86;Algeria;144w4;87b3;9b½;56w2;32w2½;82b3;25w½;47b½;51b1½;83w3;57b1
87;New Zealand;180w3½;86w1;100b3;55b2;82w1;32b1½;96w1;162b4;119b4;57w0;124w3
88;Luxembourg;155w4;17w½;140b3½;36w1½;58b3;126b2;16w½;90w2½;27b0;89w1½;134b4
89;Venezuela;141w4;23b1½;125w2½;63w2;123b3;52w½;22b1½;96b1;145w3;88b2½;44b0
90;United Arab Emirates;26w0;175b3½;73b2;74w2;105b2½;70w1;58w2;88b1½;91b3½;125w3½;47w½
91;Sudan;42w0;146b4;107w1½;114b2;158w4;79b1½;59w½;141b3½;90w½;160w3½;145b4
92;El Salvador;6b½;148w4;181w4;75b1;60b1;94w3;57b½;114w2;131w2½;98b3;50w1½
93;Malaysia;30b½;80w2;129w3;83b1;157w4;22w1;133b3½;98w3½;23b1;71w0;132b2½
94;Scotland;174b4;40w0;182b4;49w0;50b½;92b1;146w4;116w4;117b2;97w1½;123b2½
95;Tunisia;184b4;11b½;139w3;33b½;46w1;134b3½;102w2½;84b2;55w½;82b3;58w1½
96;Panama;2b0;178w4;48b0;122w2½;77w1½;124b2;87b3;89w3;84w3;55b1;56b1½
97;Barbados;17b0;156w4;45b½;152w1;131w2½;122b2;124w1½;132w3;148b3½;94b2½;54w1
98;Botswana;32w0;165b4;66b0;76w2;80w2½;69b1½;103w2½;93b½;127b4;92w1;125b3
99;Mozambique;45b½;171w3½;82b½;162b3;119w1½;167w3;104b1½;157w2;139b2½;84w1;140b3½
100;Wales;25w0;155b3½;87w1;157b2;110w2½;44w½;118b2;106b2;69w½;129b2½;136b3
101;IBCA;158w3;56b0;58b1;170w4;47w1;152b2;171w4;128b2½;63w1;85b0;122w2½
102;Bolivia;39w0;170b4;44w1½;111b1½;146w4;135b4;95b1½;127w2;81b1½;140w2;137w3
103;Faroe Islands;154b3½;65b1½;127w2½;82b2;35w1;63w1;98b1½;133w3½;80w1;152b4;119w2
104;Uganda;3w0;147b4;36b½;134w1½;175w4;139b3½;99w2½;24b1;111b1;120w3½;80b1
105;Andorra;183w4;63w0;35b1;175b4;90w1½;121b3½;77b1;119w2;124b3½;117w2;60w1
106;Hong Kong;62b½;142w2;116b2;182w4;152b3;107b1½;81w1;100w2;110b2;114w3;74b1½
107;Iraq;153b4;7w1½;91b2½;66w1½;151b3½;106w2½;29w0;45b0;67w1½;146w3;72b1
108;South Korea;31w½;160b3;78b1½;181w4;68b1½;151w1½;159w4;129b3½;79w2½;77b½;76b1
109;Zambia;10w½;143b2½;122b2½;65w0;139w4;75b2½;36b½;117w4;37b1½;35w1;69b0
110;Bahrain;14b0;83w2;133b3;16w0;100b1½;137w1½;158b3½;152w2½;106w2;130b4;70b1
