https://toernooibase.kndb.nl/opvraag/standen.php?taal=1&kl=46&Id=8807&jr=0;;;;
ZHDB Vierkamp Den Haag ZHDB 1947;;;;
Pl;Name;rd1;rd2;rd3
1;Pierre Ghestem ;4w2;3w1;2w1
2;Piet Roozenburg;3w1;4w2;1b1
3;Geert van Dijk ;2b1;1b1;4w1
4;Freek Gordijn  ;1b0;2b0;3b1
